value,Label
83.11803871,1
82.73586941,1
82.45575098,1
83.02758267,1
83.36235646,1
82.88189183,1
83.57965349,1
83.76141298,1
82.30991906,1
83.05136903,1
83.26333638,1
84.09700706,1
83.5464428,1
83.48998999,1
83.43534304,1
85.18336642,1
85.34462435,1
84.67196172,1
85.30276155,1
84.34921079,1
84.55584383,1
83.7711366,1
85.29834063,1
85.40014591,1
85.10730255,1
84.97405668,1
85.43784202,1
84.83484013,1
84.94715827,1
86.16861901,1
86.37621858,1
86.3421685,1
86.61918376,1
86.30151068,1
86.57173751,1
86.48675455,1
87.52018696,1
87.00908412,1
86.96641259,1
88.62366147,1
88.59942914,1
89.44293245,1
87.98565262,1
89.75558903,1
88.80257312,1
89.7298597,1
90.22009915,1
89.44223536,1
90.50690649,1
90.89985471,1
89.52273909,1
90.79023919,1
91.52798129,1
90.30234442,1
91.69464161,1
90.61223839,1
91.35611449,1
91.1192753,1
92.2779806,1
91.93466396,1
91.26341409,1
91.03317052,1
90.54178741,1
89.31712427,1
88.60863427,1
88.00860982,1
87.9874342,1
87.62276247,1
86.35545122,1
86.69530437,1
84.67963832,1
84.07484551,1
84.35696223,1
84.58044581,1
82.68818775,1
82.69563236,1
83.76512879,1
82.98957536,1
82.23041088,1
83.88653506,1
82.75784339,1
82.38401128,1
83.21031771,1
82.8468474,1
82.38411475,1
82.14105996,1
82.57875201,1
83.67102071,1
82.31952904,1
84.00735878,1
84.15133223,1
85.42547113,1
86.54847695,1
87.29964034,1
86.08152742,1
85.88428549,1
85.56048471,1
85.13496309,1
86.6109496,1
86.15758118,1
85.23120601,1
85.93395961,1
85.11561607,1
85.86375607,1
83.48616417,1
85.48938451,1
83.14095879,1
83.35164174,1
83.69802526,1
83.80362667,1
83.50931286,1
83.4881532,1
84.0784573,1
82.2651982,1
82.83535437,1
82.04034143,1
82.36420121,1
82.69675156,1
82.87691879,1
82.01953528,1
82.31148178,1
83.32496669,1
83.21001771,1
82.25146959,1
83.11339476,1
84.61722355,1
84.37223101,1
84.79520638,1
83.63540044,1
82.62589147,1
83.2559329,1
84.38916448,1
83.18147487,1
83.48184527,1
82.68143532,1
82.97997961,1
84.1348685,1
83.54342224,1
82.56862498,1
83.45096889,1
83.45143576,1
82.88039053,1
82.57263847,1
83.85374038,1
82.44444475,1
82.11652105,1
82.52409712,1
83.22921909,1
83.55667979,1
82.69741029,1
82.24032523,1
82.18283255,1
83.08562271,1
83.33882055,1
82.73869514,1
83.44744203,1
83.17741645,1
82.61994773,1
82.02344746,1
84.359617,1
85.67172288,1
85.56966109,1
86.33936754,1
85.82410266,1
85.67514744,1
86.73557359,1
86.71059894,1
84.49232932,1
84.57715258,1
86.11829435,1
85.81371619,1
84.01298513,1
85.86114419,1
84.63378489,1
84.6204503,1
84.30866618,1
83.42961151,1
84.55433571,1
83.4531842,1
84.33273465,1
83.62480036,1
83.82024756,1
82.82118107,1
82.48534664,1
82.41635233,1
82.85831903,1
82.80100858,1
82.63704015,1
82.54456987,1
83.91816767,1
84.21337153,1
83.5474584,1
83.94591696,1
85.50765598,1
84.75313439,1
87.38966543,1
85.61241075,1
87.04546782,1
87.60232129,1
87.31292835,1
87.61788219,1
87.91839902,1
87.33875515,1
87.00012634,1
86.98303457,1
88.13082806,1
88.89966936,1
88.76009472,1
87.91843709,1
87.61665589,1
88.30627918,1
88.9329081,1
88.29581581,1
87.12400298,1
89.0575271,1
86.98426456,1
88.16593201,1
87.07435833,1
88.25426297,1
87.0632953,1
88.74480066,1
88.51117094,1
88.37158723,1
88.00478586,1
88.61564448,1
89.857271,1
89.11117455,1
88.73527502,1
90.44048272,1
90.87460331,1
88.83698476,1
90.74342245,1
90.92465673,1
89.80826519,1
89.87410639,1
91.94873788,1
91.03236887,1
91.26672743,1
89.98528487,1
90.77882139,1
91.84765707,1
90.42548359,1
91.3827811,1
90.06954941,1
89.97814049,1
90.3096759,1
90.72428594,1
90.1455803,1
91.60297257,1
89.95340409,1
91.23679402,1
90.88751787,1
91.11322564,1
91.71235473,1
91.11938781,1
91.10486261,1
91.6813322,1
90.514947,1
89.71700074,1
91.65203082,1
91.01595463,1
91.47394549,1
91.03909176,1
89.6586677,1
91.06468954,1
90.05823487,1
90.23402189,1
89.98472665,1
91.8117387,1
91.5975513,1
90.57501904,1
90.25297529,1
89.78884843,1
91.49798647,1
90.15558683,1
91.54101803,1
90.34836465,1
91.03425337,1
90.10654338,1
91.14968611,1
90.85022799,1
90.23782718,1
90.57429048,1
91.44783131,1
89.7515613,1
90.52987624,1
90.60576981,1
88.85217825,1
90.03063173,1
89.38603658,1
89.66376247,1
88.05606264,1
87.71234894,1
86.62532028,1
86.89842071,1
86.10068109,1
86.32186857,1
87.1806124,1
85.58175774,1
84.32018121,1
85.3484649,1
85.23133389,1
83.60369239,1
84.14668277,1
84.36204419,1
82.44829347,1
82.19836897,1
82.56379835,1
82.13609654,1
82.42140024,1
82.23030379,1
82.21095386,1
82.55444217,1
82.44111181,1
82.15499505,1
82.57000445,1
82.65327799,1
83.17016645,1
83.89940482,1
83.34087231,1
85.33284543,1
85.93505505,1
85.71260799,1
87.38667453,1
87.53885279,1
89.3910654,1
90.39821735,1
89.99111759,1
92.67881246,1
92.17664249,1
93.01952015,1
94.36744637,1
92.10645466,1
93.72782704,1
92.00929857,1
91.78009622,1
92.88011059,1
91.49568071,1
92.16856523,1
91.95875727,1
91.7865819,1
90.8042164,1
90.04604107,1
89.24455669,1
88.97549237,1
89.06278767,1
89.83434121,1
88.75770969,1
88.93708576,1
89.89472492,1
89.75942233,1
89.84901477,1
89.09228711,1
89.28155577,1
88.97625236,1
88.31911026,1
86.89757046,1
86.46548218,1
87.93127799,1
86.14703741,1
86.20108694,1
84.68833564,1
84.55245269,1
85.03371137,1
84.16566457,1
83.41172533,1
83.48429814,1
84.03467948,1
84.02689217,1
83.67734936,1
82.31388201,1
82.54389631,1
82.09911484,1
82.36891368,1
82.43188272,1
83.27622491,1
83.35420453,1
82.52295937,1
82.57528729,1
82.90318308,1
82.4823319,1
83.39210799,1
82.58037157,1
83.55915859,1
82.74195917,1
82.71827429,1
82.37771613,1
83.29989108,1
83.59659781,1
82.41137405,1
82.0728321,1
83.58370499,1
82.84410371,1
82.61618649,1
82.16627916,1
83.05385388,1
83.53246444,1
82.9192049,1
82.53245119,1
83.58350239,1
82.17427237,1
82.60145334,1
83.08653743,1
83.45371038,1
83.3780726,1
83.44733584,1
82.68029327,1
82.59111138,1
83.41638363,1
83.4138286,1
82.49198933,1
82.57240851,1
82.45706835,1
83.02181864,1
82.9949833,1
83.13858068,1
83.35504881,1
83.0170021,1
82.05244367,1
82.83126064,1
83.26018551,1
82.81812563,1
82.57380932,1
83.25881041,1
83.17318978,1
82.39145631,1
82.79592117,1
82.11687886,1
82.8386627,1
82.74989778,1
83.47587378,1
83.67322406,1
82.55316396,1
83.0079108,1
84.49061689,1
83.92031306,1
84.40340024,1
